NUMBER,NAME,TYPE,VPU,ANG,PLOAD,QLOAD,PGEN,QGEN,KVBASE,QMIN,QMAX,G,B,ID
1,Kanawha   V1,3,1.04,0.0,0.55,0.17,1.289,-0.161,0.0,0.0,0.0,0.0,0.0,1
2,Turner    V1,2,1.01,-1.18,0.03,0.88,0.0,-0.008,0.0,-0.17,0.5,0.0,0.0,2
3,Logan     V1,2,0.985,-5.97,0.41,0.21,0.4,-0.01,0.0,-0.1,0.6,0.0,0.0,3
4,Sprigg    V1,0,0.981,-7.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
5,Bus 5     V1,0,0.976,-8.52,0.13,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
6,Beaver Ck V1,2,0.98,-8.65,0.75,0.02,0.0,0.008,0.0,-0.08,0.25,0.0,0.0,6
7,Bus 7     V1,0,0.984,-7.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
8,Clinch Rv V1,2,1.005,-4.45,1.5,0.22,4.5,0.621,0.0,-1.4,2.0,0.0,0.0,8
9,Saltville V1,2,0.98,-9.56,1.21,0.26,0.0,0.022,0.0,-0.03,0.09,0.0,0.0,9
10,Bus 10    V1,0,0.986,-11.43,0.05,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
11,Tazewell  V1,0,0.974,-10.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11
12,Glen Lyn  V1,2,1.015,-10.46,3.77,0.24,3.1,1.285,0.0,-1.5,1.55,0.0,0.0,12
13,Bus 13    V1,0,0.979,-9.79,0.18,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13
14,Bus 14    V1,0,0.97,-9.33,0.105,0.053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14
15,Bus 15    V1,0,0.988,-7.18,0.22,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15
16,Bus 16    V1,0,1.013,-8.85,0.43,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16
17,Bus 17    V1,0,1.017,-5.39,0.42,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17
18,Sprigg    V2,0,1.001,-11.71,0.272,0.098,0.0,0.0,0.0,0.0,0.0,0.0,0.1,18
19,Bus 19    V2,0,0.97,-13.2,0.033,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19
20,Bus 20    V2,0,0.964,-13.41,0.023,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
21,Bus 21    V3,0,1.008,-12.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21
22,Bus 22    V3,0,1.01,-12.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22
23,Bus 23    V3,0,1.008,-12.91,0.063,0.021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23
24,Bus 24    V3,0,0.999,-13.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
25,Bus 25    V4,0,0.982,-18.13,0.063,0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.059,25
26,Bus 26    V5,0,0.959,-12.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26
27,Bus 27    V5,0,0.982,-11.48,0.093,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27
28,Bus 28    V5,0,0.997,-10.45,0.046,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28
29,Bus 29    V5,0,1.01,-9.75,0.17,0.026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29
30,Bus 30    V4,0,0.962,-18.68,0.036,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
31,Bus 31    V4,0,0.936,-19.34,0.058,0.029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
32,Bus 32    V4,0,0.949,-18.46,0.016,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32
33,Bus 33    V4,0,0.947,-18.5,0.038,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33
34,Bus 34    V3,0,0.959,-14.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34
35,Bus 35    V3,0,0.966,-13.86,0.06,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35
36,Bus 36    V3,0,0.976,-13.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36
37,Bus 37    V3,0,0.985,-13.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37
38,Bus 38    V3,0,1.013,-12.71,0.14,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38
39,Bus 39    V3,0,0.983,-13.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39
40,Bus 40    V3,0,0.973,-13.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40
41,Tazewell  V6,0,0.996,-14.05,0.063,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41
42,Bus 42    V6,0,0.966,-15.5,0.071,0.044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42
43,Tazewell  V7,0,1.01,-11.33,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43
44,Bus 44    V3,0,1.017,-11.86,0.12,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44
45,Bus 45    V3,0,1.036,-9.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45
46,Bus 46    V3,0,1.05,-11.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46
47,Bus 47    V3,0,1.033,-12.49,0.297,0.116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47
48,Bus 48    V3,0,1.027,-12.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48
49,Bus 49    V3,0,1.036,-12.92,0.18,0.085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49
50,Bus 50    V3,0,1.023,-13.39,0.21,0.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50
51,Bus 51    V3,0,1.052,-12.52,0.18,0.053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51
52,Bus 52    V5,0,0.98,-11.47,0.049,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52
53,Bus 53    V5,0,0.971,-12.23,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.063,53
54,Bus 54    V5,0,0.996,-11.69,0.041,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54
55,Saltville V5,0,1.031,-10.78,0.068,0.034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55
56,Bus 56    V6,0,0.968,-16.04,0.076,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56
57,Bus 57    V6,0,0.965,-16.56,0.067,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57
